Player Name,Start Year,End Year,Contract Length,Contract Value,Guaranteed Money
Cooper Rush,2023,2024,1,"$5,000,000","$2,750,000"
Marcus Mariota,2023,2023,0,"$5,000,000","$5,000,000"
Jake Haener,2023,2026,3,"$4,544,816","$704,816"
Stetson Bennett,2023,2026,3,"$4,539,140","$699,140"
Sam Darnold,2023,2023,0,"$4,500,000","$3,500,000"
C.J. Beathard,2023,2024,1,"$4,500,000","$2,000,000"
Brian Hoyer,2023,2024,1,"$4,500,000","$4,205,000"
Aidan O'Connell,2023,2026,3,"$4,349,380","$509,380"
Clayton Tune,2023,2026,3,"$4,190,624","$350,624"
Dorian Thompson-Robinson,2023,2026,3,"$4,182,272","$342,272"
Sean Clifford,2023,2026,3,"$4,164,180","$325,372"
Jaren Hall,2023,2026,3,"$4,119,276","$279,276"
Tanner McKee,2023,2026,3,"$4,026,520","$186,520"
Sam Howell,2022,2025,3,"$4,021,600","$361,600"
Jameis Winston,2023,2023,0,"$4,000,000","$4,000,000"
Drew Lock,2023,2023,0,"$4,000,000","$1,750,000"
Nick Mullens,2023,2024,1,"$4,000,000","$1,922,500"
Baker Mayfield,2023,2023,0,"$4,000,000","$4,000,000"
Skylar Thompson,2022,2025,3,"$3,742,216","$82,216"
Brock Purdy,2022,2025,3,"$3,737,008","$77,008"
Sam Ehlinger,2021,2024,3,"$3,610,708","$130,708"
Gardner Minshew,2023,2023,0,"$3,500,000","$3,500,000"
Joe Flacco,2022,2022,0,"$3,500,000","$2,850,000"
Teddy Bridgewater,2023,2023,0,"$3,000,000","$2,550,000"
Tyson Bagent,2023,2025,2,"$2,720,000","$25,000"
Tyler Huntley,2023,2023,0,"$2,627,000",0-
Feleipe Franks,2021,2023,2,"$2,440,000","$100,000"
Chase Daniel,2022,2022,0,"$2,000,000","$1,120,000"
Joshua Dobbs,2023,2023,0,"$2,000,000","$2,000,000"
Logan Woodside,2022,2023,1,"$1,905,000",0-
Easton Stick,2023,2023,0,"$1,800,000","$1,152,500"
Nate Sudfeld,2023,2023,0,"$1,600,000","$1,000,000"
Bryce Perkins,2021,2022,1,"$1,485,000",0-
Blaine Gabbert,2023,2023,0,"$1,317,500","$1,092,500"
Josh Johnson,2023,2023,0,"$1,317,500","$152,500"
Kyle Allen,2023,2023,0,"$1,232,500","$350,000"
Brandon Allen,2023,2023,0,"$1,232,500","$200,000"
Tim Boyle,2023,2023,0,"$1,155,000","$75,000"
Will Grier,2023,2023,0,"$1,080,000",0-
Mason Rudolph,2023,2023,0,"$1,080,000",0-
Brett Rypien,2023,2023,0,"$1,080,000",0-
Jake Luton,2023,2023,0,"$1,010,000",0-
Bailey Zappe,2023,2023,0,"$870,000",0-
Jake Browning,2023,2023,0,"$750,000",0-
